path	domain	latest_status_from_base	legacy_status_from_base	classification
third_party/mahayana/mahayana-rs/mahayana-core/src/lib.rs	mahayana-sovereign-runtime	M		CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-feature-host/src/implementation.rs	mahayana-sovereign-runtime	M	M	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-host-protocol/src/lib.rs	mahayana-sovereign-runtime	M	M	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-host/src/lib.rs	mahayana-sovereign-runtime	M		CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-js-runtime/src/lib.rs	mahayana-sovereign-runtime	M	M	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-platform-worker/account-migrations/0003_oauth_attempt_failed_status.sql	mahayana-sovereign-runtime	A		CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-platform-worker/account-migrations/0004_email_registration_challenges.sql	mahayana-sovereign-runtime	A		CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-platform-worker/src/identity_auth.rs	mahayana-sovereign-runtime	A		CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-platform-worker/src/lib.rs	mahayana-sovereign-runtime	M		CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-platform-worker/src/schema_tests.rs	mahayana-sovereign-runtime	M		CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-platform-worker/src/worker_api.rs	mahayana-sovereign-runtime	M	M	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-platform-worker/wrangler.toml	mahayana-sovereign-runtime	M		CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-plugin-runtime/src/lib.rs	mahayana-sovereign-runtime	M	M	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-product/src/lib.rs	mahayana-sovereign-runtime	M	M	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-runtime/src/lib.rs	mahayana-sovereign-runtime	M	M	CAPABILITY_MAPPED
